X,Y,OBJECTID,RADICADO,HORA,DIA_NOMBRE,PERIODO,CLASE,DIRECCION,DIRECCION_ENC,CBML,TIPO_GEOCOD,EXPEDIENTE,GRAVEDAD,BARRIO,COMUNA,DISENO,MES,DIA,FECHA,MES_NOMBRE,X_MAGNAMED,Y_MAGNAMED,LONGITUD,LATITUD
-75.5933241105926,6.2161734354881,19,1792402,13:20:00,DOMINGO  ,2022,Otro,Carrera 70 A Con Calle 4,CR  070 A   004  000 00000,1607,Malla vial,A001432239,HERIDO,Diego Echavarría,Belén,Lote o Predio,05,29,2022/05/29 00:00:00+00,MAYO      ,832230.78,1179375.06,-75.59332411,6.21617343
-75.5750365810244,6.25017459288234,20,1797659,05:46:00,LUNES    ,2022,Atropello,Carrera 57 Con Calle 48,CR  057   048  000 00000,1007,EPM con Interior,A001488183,HERIDO,Guayaquil,La Candelaria,Interseccion,07,18,2022/07/18 00:00:00+00,JULIO     ,834255.2,1183135.98,-75.57503658,6.25017459
-75.573936050441,6.25229532662077,21,1780186,11:40:00,LUNES    ,2022,Choque,Calle 50 Con Carrera 56 B,CL  050   056 B  000 00000,1006,Malla vial,A001419991,SOLO DAÑOS,San Benito,La Candelaria,Interseccion,02,14,2022/02/14 00:00:00+00,FEBRERO   ,834377.02,1183370.56,-75.57393605,6.25229533
-75.5875339587204,6.27003819895442,22,1793708,16:30:00,JUEVES   ,2022,Choque,Calle 65 Con Carrera 76,CL  065   076  000 00000,704,Malla vial aproximada: CL 65-75,A001433461,HERIDO,Facultad Veterinaria y Zootecnia U.de.A.,Robledo,Tramo de via,06,09,2022/06/09 00:00:00+00,JUNIO     ,832871.98,1185333.21,-75.58753396,6.2700382
-75.5708383523124,6.22999216674396,23,1781005,11:00:00,SÁBADO   ,2022,Choque,Carrera 44 Con Calle 30,CR  044   030  000 00000,1012,Malla vial,A001420554,SOLO DAÑOS,Perpetuo Socorro,La Candelaria,Tramo de via,02,19,2022/02/19 00:00:00+00,FEBRERO   ,834719.87,1180903.52,-75.57083835,6.22999217
-75.550838988151,6.28824853811809,24,1798563,19:30:00,MARTES   ,2022,Choque,Calle 97 Con Carrera 44,CL  097   044  000 00000,0105,Malla vial,A001488404,HERIDO,Moscú No. 2,Popular,Lote o Predio,07,19,2022/07/19 00:00:00+00,JULIO     ,836933.48,1187347.49,-75.55083899,6.28824854
-75.556655233104,6.26860272264814,25,1793936,19:30:00,SÁBADO   ,2022,Otro,Carrera 48 Con Calle 74,CR  048   074  000 00000,409,Malla vial aproximada: CR 47-74,A001433706,HERIDO,Manrique Central No. 1,Aranjuez,Lote o Predio,06,11,2022/06/11 00:00:00+00,JUNIO     ,836289.77,1185174.38,-75.55665523,6.26860272
-75.5696735869992,6.22905676104754,26,1794467,23:00:00,JUEVES   ,2022,Otro,Carrera 43 A Con Calle 30,CR  043 A   030  000 00000,1020,Malla vial,A001484609,HERIDO,San Diego,La Candelaria,Lote o Predio,06,16,2022/06/16 00:00:00+00,JUNIO     ,834848.8,1180800.05,-75.56967359,6.22905676
-75.568961880193,6.29798520635345,27,1791217,07:00:00,MARTES   ,2022,Otro,Carrera 67 Con Calle 103,CR  067   103  000 00000,0509,Malla vial,A001430834,HERIDO,Girardot,Castilla,Lote o Predio,05,17,2022/05/17 00:00:00+00,MAYO      ,834927.64,1188424.48,-75.56896188,6.29798521
-75.5564641211903,6.24780258445338,28,1791699,20:00:00,LUNES    ,2022,Choque,Calle 55 Con Carrera 37,CL  055   037  000 00000,1016,Malla vial,A001431530,HERIDO,Boston,La Candelaria,Interseccion,05,23,2022/05/23 00:00:00+00,MAYO      ,836310.96,1182873.6,-75.55646412,6.24780258
-75.553739206565,6.26817342753822,29,1779177,21:00:00,LUNES    ,2022,Otro,Carrera 44 Con Calle 74,CR  044   074  000 00000,0306,Malla vial,A001418858,HERIDO,El Pomar,Manrique,Tramo de via,02,07,2022/02/07 00:00:00+00,FEBRERO   ,836612.53,1185126.9,-75.55373921,6.26817343
-75.5738378698477,6.19496038915563,30,1782036,10:40:00,MIÉRCOLES,2022,Choque,Calle 9  Sur Con Carrera 42,CL S 009   042  000 00000,1414,Malla vial,A001421779,HERIDO,Los Balsos No.2,El Poblado,Tramo de via,03,02,2022/03/02 00:00:00+00,MARZO     ,834387.78,1177028.53,-75.57383787,6.19496039
-75.5500877995753,6.29522034812532,31,1783493,07:30:00,SÁBADO   ,2022,Choque,Calle 107 Con Carrera 43 B,CL  107   043 B  000 00000,0207,Malla vial,A001422991,HERIDO,Villa del Socorro,Santa Cruz,Tramo de via,03,12,2022/03/12 00:00:00+00,MARZO     ,837016.6,1188118.67,-75.5500878,6.29522035
-75.582978940499,6.28349385039945,32,1782122,19:30:00,JUEVES   ,2022,Choque,Calle 80 Con Carrera 76,CL  080   076  000 00000,0710,Malla vial,A001422075,SOLO DAÑOS,López de Mesa,Robledo,Tramo de via,03,03,2022/03/03 00:00:00+00,MARZO     ,833376.2,1186821.57,-75.58297894,6.28349385
-75.549916345195,6.27827859077292,33,1788324,17:40:00,SÁBADO   ,2022,Otro,Carrera 42 Con Calle 86,CR  042   086  000 00000,0302,EPM con Interior,A001428050,HERIDO,Las Granjas,Manrique,Lote o Predio,04,23,2022/04/23 00:00:00+00,ABRIL     ,837035.63,1186244.68,-75.54991635,6.27827859
-75.5686017525247,6.23626338124449,34,1785181,08:00:00,LUNES    ,2022,Otro,Calle 37 Con Carrera 42,CL  037   042  000 00000,Sin inf,Malla vial,A001424928,HERIDO,San Diego,La Candelaria,Lote o Predio,03,28,2022/03/28 00:00:00+00,MARZO     ,834967.45,1181597.2,-75.56860175,6.23626338
-75.649219522982,6.17359524988868,35,1782856,12:00:00,SÁBADO   ,2022,Choque,Calle 56  Sur Con Carrera 68 A,CL S 056   068 A  000 00000,8000,Malla vial,A001422358,SOLO DAÑOS, , ,Tramo de via,03,05,2022/03/05 00:00:00+00,MARZO     ,826042.66,1174665.99,-75.64921952,6.17359525
-75.5910241097577,6.23448611361062,36,1794044,12:25:00,LUNES    ,2022,Choque,Carrera 69 C Con Calle 32,CR  069 C   032  000 00000,1602,Malla vial,A001434059,SOLO DAÑOS,Rosales,Belén,Interseccion,06,13,2022/06/13 00:00:00+00,JUNIO     ,832485.48,1181400.68,-75.59102411,6.23448611
-75.5607307356396,6.25142099347223,37,1797664,06:50:00,LUNES    ,2022,Atropello,Carrera 43 Con Calle 56,CR  043   056  000 00000,1016,Malla vial,A001487297,HERIDO,Boston,La Candelaria,Interseccion,07,11,2022/07/11 00:00:00+00,JULIO     ,835838.69,1183273.84,-75.56073074,6.25142099
-75.5654970620901,6.29635685207016,38,1776285,19:30:00,MIÉRCOLES,2022,Choque,Carrera 63 Con Calle 103 C,CR  063   103 C  000 00000,508,Malla vial aproximada: CR 64-103,A001416080,HERIDO,Belalcázar,Castilla,Tramo de via,01,12,2022/01/12 00:00:00+00,ENERO     ,835311.12,1188244.36,-75.56549706,6.29635685
-75.5757176892476,6.24612182653704,39,1779132,13:30:00,LUNES    ,2022,Choque,Calle 44 Con Carrera 57,CL  044   057  000 00000,1008,Malla vial,A001419102,SOLO DAÑOS,Corazón de Jesús,La Candelaria,Glorieta,02,07,2022/02/07 00:00:00+00,FEBRERO   ,834179.8,1182687.69,-75.57571769,6.24612183
-75.5854942368111,6.25966859092236,40,1787469,06:50:00,LUNES    ,2022,Choque,Carrera 70 Con Calle 52,CR  070   052  000 00000,Sin inf,Malla vial,A001427353,SOLO DAÑOS,Carlos E. Restrepo,Laureles Estadio,Interseccion,04,18,2022/04/18 00:00:00+00,ABRIL     ,833097.7,1184186.18,-75.58549424,6.25966859
-75.5827234004673,6.23193460569046,41,1791684,20:50:00,JUEVES   ,2022,Choque,Carrera 65 Con Avenida 30,CR  065   030  000 00000,1502,Malla vial,A001431459,SOLO DAÑOS,,,Interseccion,05,19,2022/05/19 00:00:00+00,MAYO      ,833404.29,1181118.41,-75.5827234,6.23193461
-75.5705610410372,6.25826479679226,42,1777799,23:00:00,MIÉRCOLES,2022,Otro,Carrera 55 Con Calle 58,CR  055   058  000 00000,1003,Malla vial,A001417437,HERIDO,Jesús Nazareno,La Candelaria,Lote o Predio,01,26,2022/01/26 00:00:00+00,ENERO     ,834750.6,1184030.86,-75.57056104,6.2582648
-75.5757847609568,6.21727350095522,43,1789163,14:00:00,MIÉRCOLES,2022,Choque,Carrera 48 Con Calle 16,CR  048   016  000 00000,1403,Malla vial,A001428616,SOLO DAÑOS,Villa Carlota,El Poblado,Tramo de via,04,27,2022/04/27 00:00:00+00,ABRIL     ,834172.31,1179496.67,-75.57578476,6.2172735
-75.5779627014796,6.28558117208946,44,1788504,13:40:00,DOMINGO  ,2022,Choque,Carrera 72 Con Calle 91,CR  072   091  000 00000,0514,Malla vial,A001428150,SOLO DAÑOS,Alfonso López,Castilla,Tramo de via,04,24,2022/04/24 00:00:00+00,ABRIL     ,833931.41,1187052.44,-75.5779627,6.28558117
-75.5579879323522,6.30345520446156,45,1792803,17:10:00,SÁBADO   ,2022,Choque,Carrera 64 C Con Calle 111 FF,CR  064 C   111 FF 000 00000,507,Malla vial aproximada: CR 63-111,A001432689,SOLO DAÑOS,Héctor Abad Gómez,Castilla,Tramo de via,05,28,2022/05/28 00:00:00+00,MAYO      ,836142.21,1189029.54,-75.55798793,6.3034552
-75.5902800251406,6.23937098772035,46,1783128,14:10:00,MARTES   ,2022,Choque,Calle 33 Con Diagonal 74 B,CL  033   074 B  000 00000,1105,Malla vial,A001422416,HERIDO, , ,Paso Inferior,03,08,2022/03/08 00:00:00+00,MARZO     ,832567.87,1181941.01,-75.59028003,6.23937099
-75.5699029466438,6.237110462625,47,1793775,18:00:00,JUEVES   ,2022,Choque,Calle 37 Con Carrera 37,CL  037   037  000 00000,1020,Malla vial,A001433482,HERIDO,El Salvador,Buenos Aires,Lote o Predio,06,09,2022/06/09 00:00:00+00,JUNIO     ,834823.42,1181690.9,-75.56990295,6.23711046
-75.5688462776064,6.2564677475916,48,1783648,01:19:00,SÁBADO   ,2022,Choque,Carrera 53 Con Calle 57 B,CR  053   057 B  000 00000,1005,Malla vial aproximada: CR 53-57,A001423031,SOLO DAÑOS,Estación Villa,La Candelaria,Interseccion,03,12,2022/03/12 00:00:00+00,MARZO     ,834940.4,1183832.08,-75.56884628,6.25646775
-75.7038158742467,6.22180566397041,49,1794785,01:15:00,DOMINGO  ,2022,Choque,Carrera 42 Con Calle 91,CR  042   091  000 00000, ,No Ubicada,A001484937,SOLO DAÑOS, , ,Tramo de via,06,19,2022/06/19 00:00:00+00,JUNIO     ,820000,1180000,-75.70381587,6.22180566
-75.5524743525107,6.25281879190871,50,1783612,12:00:00,JUEVES   ,2022,Otro,Carrera 36 Con Calle 64,CR  036   064  000 00000,804,Malla vial aproximada: CR 36-63,A001422748,HERIDO,La Ladera,Villa Hermosa,Lote o Predio,03,10,2022/03/10 00:00:00+00,MARZO     ,836752.57,1183428.47,-75.55247435,6.25281879
-75.7038158742467,6.22180566397041,51,1778626,13:00:00,MIÉRCOLES,2022,Choque,Carrera 50 B Con Calle 113  Sur,0,Sin inf,No Ubicada,A001418388,SOLO DAÑOS,,,Interseccion,02,02,2022/02/02 00:00:00+00,FEBRERO   ,820000,1180000,-75.70381587,6.22180566
-75.54510814192,6.26961458736051,52,1778852,20:00:00,VIERNES  ,2022,Otro,Calle 78 Con Carrera 32,CL  078   032  000 00000,0305,Malla vial,A001418446,HERIDO,El Raizal,Manrique,Lote o Predio,02,04,2022/02/04 00:00:00+00,FEBRERO   ,837567.85,1185286.34,-75.54510814,6.26961459
-75.5753664667184,6.24768547351648,53,1782278,16:40:00,LUNES    ,2022,Choque,Carrera 57 Con Calle 45,CR  057   045  000 00000,1007,Malla vial,A001422326,MUERTO,Guayaquil,La Candelaria,Interseccion,03,07,2022/03/07 00:00:00+00,MARZO     ,834218.68,1182860.65,-75.57536647,6.24768547
-75.5375032052246,6.23611839786377,54,1796006,21:10:00,VIERNES  ,2022,Choque,Carrera 11 Con Calle 54,CR  011   054  000 00000,0813,Malla vial,A001484832,SOLO DAÑOS,Villatina,Villa Hermosa,Tramo de via,06,17,2022/06/17 00:00:00+00,JUNIO     ,838409.79,1181581.24,-75.53750321,6.2361184
-75.5606536193677,6.19028354117155,55,1792644,12:50:00,VIERNES  ,2022,Choque,Carrera 25 Con Calle 9 A Sur,CR  025  S 009 A  000 00000,1411,Malla vial,A001432302,SOLO DAÑOS,Los Balsos No.1,El Poblado,Tramo de via,05,27,2022/05/27 00:00:00+00,MAYO      ,835847.28,1176511.2,-75.56065362,6.19028354
-75.5717027313416,6.26518146693774,56,1788729,01:00:00,MIÉRCOLES,2022,Otro,Carrera 62 Con Calle 67,CR  062   067  000 00000,0406,Malla vial,A001428284,HERIDO,Universidad de Antioquia,Aranjuez,Lote o Predio,04,27,2022/04/27 00:00:00+00,ABRIL     ,834624.24,1184795.94,-75.57170273,6.26518147
-75.5810319032658,6.23323829609425,57,1777537,15:00:00,LUNES    ,2022,Choque,Calle 30 A Con Carrera 57,CL  030 A   057  000 00000,1621,Malla vial,A001417378,SOLO DAÑOS,Cerro Nutibara,Belén,Lote o Predio,01,24,2022/01/24 00:00:00+00,ENERO     ,833591.53,1181262.61,-75.5810319,6.2332383
-75.5663906227409,6.25883753900041,58,1792390,04:51:00,DOMINGO  ,2022,Choque,Carrera 51 D Con Calle 60,CR  051 D   060  000 00000,1003,Malla vial,A001432170,HERIDO,Jesús Nazareno,La Candelaria,Interseccion,05,29,2022/05/29 00:00:00+00,MAYO      ,835212.21,1184094.21,-75.56639062,6.25883754
-75.5783945403025,6.21383480699782,59,1782945,09:30:00,MARTES   ,2022,Choque,Carrera 50 Con Calle 10,CR  050   010  000 00000,1507,Malla vial,A001422711,SOLO DAÑOS,Campo Amor,Guayabal,Tramo de via,03,08,2022/03/08 00:00:00+00,MARZO     ,833883.41,1179116.31,-75.57839454,6.21383481
-75.5766813139369,6.26743598225218,60,1777117,16:40:00,JUEVES   ,2022,Choque,Diagonal 64 E Con Calle 67,DG  064 E   067  000 00000,0517,Malla vial,A001416765,HERIDO,Caribe,Castilla,Tramo de via,01,20,2022/01/20 00:00:00+00,ENERO     ,834073.19,1185045.33,-75.57668131,6.26743598
-75.5948336372962,6.27466004731769,61,1787703,06:30:00,LUNES    ,2022,Otro,Calle 65 Con Carrera 83,CL  065   083  000 00000,0717,Malla vial,A001427239,HERIDO,Robledo,Robledo,Lote o Predio,04,18,2022/04/18 00:00:00+00,ABRIL     ,832064.05,1185844.49,-75.59483364,6.27466005
-75.5794230635091,6.25106262616857,62,1783174,14:00:00,JUEVES   ,2022,Choque,Carrera 63 Con Calle 47 D,CR  063   047 D  000 00000,1103,Malla vial,A001423050,SOLO DAÑOS,Suramericana,Laureles Estadio,Tramo de via,03,10,2022/03/10 00:00:00+00,MARZO     ,833769.67,1183234.22,-75.57942306,6.25106263
-75.5555351222076,6.28326309360346,63,1783029,16:00:00,MARTES   ,2022,Choque,Carrera 48 Con Calle 92,CR  048   092  000 00000,0401,Malla vial,A001422689,SOLO DAÑOS,Berlin,Aranjuez,Tramo de via,03,08,2022/03/08 00:00:00+00,MARZO     ,836413.72,1186796.02,-75.55553512,6.28326309
-75.622043713112,6.25301111672267,64,1791764,16:00:00,VIERNES  ,2022,Caida Ocupante,Carrera 109 Con Calle 39 C,CR  109   039 C  000 00000,1310,Malla vial,A001431338,HERIDO,Veinte de Julio,San Javier,Lote o Predio,05,20,2022/05/20 00:00:00+00,MAYO      ,829052.09,1183450.07,-75.62204371,6.25301112
-75.7038158742467,6.22180566397041,65,1792839,16:10:00,MARTES   ,2022,Choque,Transversal 15 Con Calle 79,TV  015   079  000 00000, ,No Ubicada,A001432695,SOLO DAÑOS, , ,Tramo de via,05,31,2022/05/31 00:00:00+00,MAYO      ,820000,1180000,-75.70381587,6.22180566
-75.5846488401766,6.26113245634534,66,1792470,13:20:00,DOMINGO  ,2022,Otro,Calle 55 Con Carrera 70,CL  055   070  000 00000,0725,Malla vial,A001432215,HERIDO,Nueva Villa de la Iguaná,Robledo,Tramo de via,05,29,2022/05/29 00:00:00+00,MAYO      ,833191.28,1184348.1,-75.58464884,6.26113246
-75.5699160880199,6.21301652207837,67,1778228,08:00:00,LUNES    ,2022,Choque,Calle 12 Con Carrera 43 A,CL  012   043 A  000 00000,Sin inf,Malla vial,A001417922,HERIDO, , ,Tramo de via,01,31,2022/01/31 00:00:00+00,ENERO     ,834821.94,1179025.78,-75.56991609,6.21301652
-75.5599063090636,6.23635088257547,68,1790645,22:10:00,DOMINGO  ,2022,Choque,Carrera 34 Con Calle 40,CR  034   040  000 00000,0911,Malla vial,A001430777,SOLO DAÑOS,Gerona,Buenos Aires,Tramo de via,05,15,2022/05/15 00:00:00+00,MAYO      ,835929.96,1181606.88,-75.55990631,6.23635088
-75.5410850045899,6.29510131752329,69,1779279,22:30:00,JUEVES   ,2022,Caida Ocupante,Calle 107 Con Carrera 29,CL  107   029  000 00000,0102,Malla vial cruce invertido,A001418288,HERIDO,Santo Domingo Savio No. 1,Popular,Lote o Predio,02,03,2022/02/03 00:00:00+00,FEBRERO   ,838013.02,1188105.54,-75.54108501,6.29510132
-75.591508186389,6.23327846327413,70,1790949,18:40:00,JUEVES   ,2022,Choque,Calle 30 C Con Carrera 70,CL  030 C   070  000 00000,1602,Malla vial,A001430245,HERIDO,Rosales,Belén,Interseccion,05,12,2022/05/12 00:00:00+00,MAYO      ,832431.89,1181267.1,-75.59150819,6.23327846
-75.6020022089284,6.26069251591352,71,1786236,10:40:00,SÁBADO   ,2022,Otro,Carrera 83 A Con Calle 48 B,CR  083 A   048 B  000 00000,1304,Malla vial aproximada: CR 83A-48A,A001425509,HERIDO,Los Alcázares,San Javier,Lote o Predio,04,02,2022/04/02 00:00:00+00,ABRIL     ,831270.5,1184299.54,-75.60200221,6.26069252
-75.5586087169711,6.28338030362189,72,1786364,12:05:00,MARTES   ,2022,Choque,Calle 92 Con Carrera 50 A,CL  092   050 A  000 00000,0402,Malla vial,A001425920,HERIDO,San Isidro,Aranjuez,Interseccion,04,05,2022/04/05 00:00:00+00,ABRIL     ,836073.53,1186808.98,-75.55860872,6.2833803
-75.5692174826057,6.27574971353517,73,1780081,15:00:00,SÁBADO   ,2022,Choque,Carrera 62 Con Calle 78,CR  062   078  000 00000,405,Malla vial,A001419713,SOLO DAÑOS,Moravia,Aranjuez,Tramo de via,02,12,2022/02/12 00:00:00+00,FEBRERO   ,834899.33,1185964.93,-75.56921748,6.27574971
-75.5799859942519,6.24784700518218,74,1787846,18:30:00,MIÉRCOLES,2022,Otro,Calle 44 Con Carrera 62,CL  044   062  000 00000,1008,Malla vial cruce invertido,A001427579,HERIDO,Corazón de Jesús,La Candelaria,Lote o Predio,04,20,2022/04/20 00:00:00+00,ABRIL     ,833707.35,1182878.53,-75.57998599,6.247847
-75.5654204926429,6.25547493763498,75,1791160,08:30:00,JUEVES   ,2022,Choque,Calle 57 Con Carrera 50 A,CL  057   050 A  000 00000,1018,Malla vial,A001431266,SOLO DAÑOS,Villa Nueva,La Candelaria,Interseccion,05,19,2022/05/19 00:00:00+00,MAYO      ,835319.59,1183722.26,-75.56542049,6.25547494
-75.6134907389092,6.24910576698905,76,1782709,16:00:00,JUEVES   ,2022,Choque,Carrera 92 Con Calle 36,CR  092   036  000 00000,1209,Malla vial,A001422068,SOLO DAÑOS,Santa Mónica,La América,Tramo de via,03,03,2022/03/03 00:00:00+00,MARZO     ,829998.76,1183017.99,-75.61349074,6.24910577
-75.5814755070625,6.29430304871515,77,1783081,16:30:00,LUNES    ,2022,Otro,Carrera 80 Con Calle 96,CR  080   096  000 00000,0606,Malla vial,A001422383,HERIDO,San Martín de Porres,Doce de Octubre,Lote o Predio,03,07,2022/03/07 00:00:00+00,MARZO     ,833542.64,1188017.21,-75.58147551,6.29430305
